Codigo,Descripcion,Iniciales,Entradas,Salidas,Stock
AL20X2, ANGULO DE 3/4 X 2,77,0,0,77
AL20X3,ANGULO DE 3/4 X1/8,71,0,0,71
AL25X2,ANGULO DE 1 X2,64,0,0,64
AL25X3,ANGULO DE 1 X1/8,118,0,0,118
AL30X3,ANGULO DE 11/4X1/8,90,0,0,90
AL30X4,ANGULO DE 11/4X3/16,22,0,0,22
AL40X3,ANGULO DE 11/2X1/8,21,0,0,21
AL40X4,ANGULO DE 11/2X3/16,17,0,0,17
AL50X3,ANGULO DE 2X1/8,23,0,0,23
AL50X4,ANGULO DE 2 X 3/16,6,0,0,6
AL50X6,ANGULO DE 2X1/4,0,0,0,0
AP25,ANGULO PERFIL PEQUEÑO,22,0,0,22
AP50,ANGULO PERFIL GRANDE,14,0,0,14
BC15,BARRA CUADRADA 15 Ó 5/8,16,0,0,16
BC11,VARILLA CUADRADA   DE 11 Ó ½,72,0,0,72
BC8,VARILLA  CUADRADA DE 8,110,0,0,110
BC9,VARILLA CUADRADA  DE 9 Ó 3/8,131,0,0,131
BENT11,VARILLA  TORNEADA ½,16,0,0,16
BENT3/8,VARILLA TORNEADA DE 3/8,70,0,0,70
BR10,VARILLAREDONDA  DE 10,68,0,0,68
BR11,VARILLA REDONDA DE 11,62,0,0,62
BR4,VARILLA REDONDA DE 4,0,0,0,0
BR5/8,VARILLA  REDONDA DE 5/8 O 15,13,0,0,13
BR6,VARILLA REDONDA DE 6 X 6,65,0,0,65
BR8,VARILLA REDONDA  DE 8,79,0,0,79
CU100X2,CANAL U DE 100’ X50 X 2,0,0,0,0
CU24X18,CANAL U DE 24X48X1.8,3,0,0,3
CU50X2,CANAL U DE 50 X50 X 2,6,0,0,6
CU80X2,CANAL U DE 80 X50 X 2,0,0,0,0
G100X2,G Ó CORREA DE 100 X 2,30,0,0,30
G100X3,CORREA G100x3,8,0,0,8
G125X2,CORREA G125X2,10,0,0,10
G150X2,CORREA G150x2,19,0,0,19
G150X3,G Ó CORREA DE 150X3,0,0,0,0
G60X2,G Ó CORREA DE 60 X 2,24,0,0,24
G80X2,G Ó CORREA DE 80 X 2,22,0,0,22
PGAL5-2,PERFIL GALVA DE 5-2,0,0,0,0
PL12X3,PLATINA DE 1/2 X 1/8,100,0,0,100
PL12X4,PLATINA DE ½ X 3/16,27,0,0,27
PL12X6,PLATINA DE 1/2X6,10,0,0,10
PL20X3,PLATINA DE 3/4 X 1/8,15,0,0,15
PL20X4,PLATINA DE ¾ X 3/16,36,0,0,36
PL20X6,PLATINA 3/4X1/4,12,0,0,12
PL25X3,PLATINA DE 1  X 1/8,35,0,0,35
PL25X4,PLATINA DE 1 X 3/16,16,0,0,16
PL25X6,PLATINA 1X1/4,13,0,0,13
PL30X3,PLATINA DE 1 1/4 X 1/8,70,0,0,70
PL30X4,PLATINA DE 11/4X3/16,15,0,0,15
PL30X6,PLATINA 11/4X6,12,0,0,12
PL40X3,PLATINA DE 1 ½ X 1/8,26,0,0,26
PL40X4,PLATINA DE 1½ X 3/16,27,0,0,27
PL40X6,PLATINA 11/2X1/4,13,0,0,13
PL50X3,PLATINA DE 2 X 1/8,25,0,0,25
PL50X4,PLATINA DE 2 X 3/16,21,0,0,21
PL50X6,PLATINA DE  2x1/4,18,0,0,18
PL65X6,PLATNA DE 2 ½ X ¼,0,0,0,0
TC1/2X0.90,TUBO CUADRA DE 1/2 X 0.90,54,0,0,54
TC11/2X1.2,TUBO CUADRADO DE 1 ½ X 1.2,24,0,0,24
TC11/2X1.5,TUBO CUADRADO DE 1 ½ X1.5,18,0,0,18
TC11/2X2,TUBO CUADRADO DE 1 ½ X2,13,0,0,13
TC11/4X1.2,TUBO CUADRADO DE 1 ¼  X1.2,37,0,0,37
TC11/4X1.5,TUBO CUADRADO DE1 ¼  X1.5,32,0,0,32
TC11/4X2,TUBO CUADRADO DE 1 ¼  X2,15,0,0,15
TC1X1.2,TUBO CUADRADO DE 1 X 1.2,50,0,0,50
TC1X1.5,TUBO CUADRADO DE 1 X1.5,17,0,0,17
TC1X2,TUBO CUADRADO DE 1 X 2,13,0,0,13
TC2X1.50,TUBO CUADRADO DE 2 X 1.5,9,0,0,9
TC2X1.80,TUBO  CUADRADO DE 2 X 1.8,0,0,0,0
TC2X2,TUBO CUADRADO DE 2X2,16,0,0,16
TC3/4X0.90,TUBO CUADRADO 3/4×0.90,35,0,0,35
TC3/4X1.2,TUBO CUADRADO DE 3/4 X1.2,80,0,0,80
TC3/4X1.5,TUBO CUADRADO DE 3/4 X1.5,49,0,0,49
TC3X2,TUBO CUADRADO 3X2,14,0,0,14
TC4X2,TUBO CUADRADO 4X2,9,0,0,9
TC4X3,TUBO CUADRADO DE 4X3,6,0,0,6
TC60X2,TUBO CUADRADO 60X2,9,0,0,9
TCG11/2X1.5,T. CUADRADO GALV. 1 1/2 X1.5,24,0,0,24
TCG1X1.5,T. CUADRADO GALV. DE 1 X 1.5,16,0,0,16
TEE20X3,TEE DE ¾ X1/8,13,0,0,13
TEE25X3,TEE DE 1 X1/8,26,0,0,26
TEE30X3,TEE DE 1 ¼ X 1/8,16,0,0,16
TG0.45,TOL GALVANIZADO 0.45,0,0,0,0
TG0.70,TOL GALVANIZADO 0.70,0,0,0,0
TG0.90,TOL GALVANIZADO 0.90,0,0,0,0
TN0.70,TOL NEGRO 0.70,0,0,0,0
TN0.90,TOL  NEGRO 0.90,0,0,0,0
TN1.1,TOL  NEGRO 1.1/6 ,0,0,0,0
TR1/2X0.90,TUBO REDONDO. ½  X0.90 ,41,0,0,41
TR11/2X1.5,TUBO REDONDO 1 ½  X 1.5,18,0,0,18
TR11/2X2,TUBO REDONDO 1 ½  X 2,14,0,0,14
TR11/4X1.5,TUBO REDONDO 1 ¼   X 1.5,20,0,0,20
TR11/4X2,TUBO REDONDO 11/4X2,12,0,0,12
TR1X1.5,TUBO REDONDO 1 X 1.5,23,0,0,23
TR1X2,TUBO REDONDO DE 1X2,16,0,0,16
TR21/2X2,TUBO REDONDO 2 1/2X2,4,0,0,4
TR2X1.5,TUBO REDONDO 2 X 1.5,9,0,0,9
TR2X2,TUBO REDONDO 2X2,4,0,0,4
TR3X2,TUBO REDONDO DE 3X2,5,0,0,5
TR3/4X1.5,TUBO REDONDO 3/4 X 1.5,31,0,0,31
TR5/8X1.5,"TUBO REDONDO 5/8X1,5",29,0,0,29
TR7/8X1.5,TUBO REDONDO 7/8  X 1.5,31,0,0,31
TRE20X40X1.2,TU. RECTAN. 20 X 40 X 1.2,52,0,0,52
TRE20X40X1.5,TU. RECTAN. DE 20 X 40 X 1.5,25,0,0,25
TRE20X40X0.75,Tubo rectangular 20x40x0.75,17,0,0,17
TRE20X40X2,TUBO RECTANGULAR 20X40X2,7,0,0,7
TRE25X12X0.90,TU. RECTAN. 25X12X0.90,31,0,0,31
TRE25X50X0.90,Tubo rect.25x50x0.90,10,0,0,10
TRE25X50X1.2,TU.RECTANG.25X50X1.2,34,0,0,34
TRE25X50X1.5,T. RECTAN25X50X1.5,24,0,0,24
TRE25X50X2,TUBO RECT. 25X50X2,0,0,0,0
TRE30X70X2,TUBO RECTNG 30X70X2,8,0,0,8
TRE40X60X1.8,TUBO RECT 40X60X1.8,7,0,0,7
TRE40X80X2,TU. RECTAN. 40 X 80 X 2,4,0,0,4
TRE50X100X2,TUBO RECTAN 50X100X2,14,0,0,14
TREG20X40X1.5,TU. RECT.GALV. 20X40X1.5,12,0,0,12
TREG25X50X1.5,TU.RECT.G 25X50X1.5,2,0,0,2
TRG11/2X1.5,TUBO RED. GALVANI 1 ½ X 1.5,12,0,0,12
TRG2X1.5,TUBO RED. GALVANI  2X 1.5,10,0,0,10
TTEP25,TEE PERFIL PEQUEÑA ,27,0,0,27
TTEP50,TEE PERFIL GRANDE,10,0,0,10
TTRE0.90,TUBO TREBOL,15,0,0,15
